,headline,latitude,longitude,kmeans_label
0,Rumors about Hepatitis D Spreading in San Juan Capistrano have been Refuted,33.50169,-117.66255,4
1,Hepatitis A re-emerges in Foster City,37.55855,-122.27108,4
2,Hepatitis B Comes to Kansas City,39.11417,-94.62746,0
3,Lower Hospitalization in Monroe after Hepatitis D Vaccine becomes Mandatory,32.50931,-92.1193,0
4,The Spread of Hepatitis E in Lansing has been Confirmed,41.56476,-87.53893,0
5,Schools in Bentonville Closed Due to Hepatitis B Outbreak,36.37285,-94.20882,0
6,Hepatitis E Hits Hammond,30.50463,-90.46293,0
7,Hepatitis D Symptoms Spread all over Evansville,37.97476,-87.55585,0
8,Marquette tests new cure for Hepatitis A,46.54354,-87.39542,0
9,The Spread of Hepatitis E in Fargo has been Confirmed,46.87719,-96.7898,0
10,How to Avoid Hepatitis E in South Bend,41.68338,-86.25001,0
11,Lower Hospitalization in Palm Springs after Hepatitis A Vaccine becomes Mandatory,26.6359,-80.09615,2
12,Rumors about Hepatitis E Spreading in Morristown have been Refuted,36.21398,-83.29489,2
13,Hepatitis C Outbreak in Danbury,41.39482,-73.45401,3
14,How to Avoid Hepatitis B in Waldorf,38.62456,-76.93914,3
15,Lower Hospitalization in Lakewood after Hepatitis B Vaccine becomes Mandatory,40.09789,-74.21764,3
16,Authorities are Worried about the Spread of Hepatitis D in Akron,41.08144,-81.51901,3
17,Hepatitis A has not Left Staten Island,40.56233,-74.13986,3
18,Hepatitis D Keeps Spreading in Danvers,42.57509,-70.93005,3
19,More people in Cranford are infected with Hepatitis A every year,40.65844,-74.29959,3
20,Hepatitis D Symptoms Spread all over North Bethesda,39.04455,-77.11887,3
21,How to Avoid Hepatitis B in Trenton,42.13949,-83.17826,3
22,Richland Center is infested with Hepatitis B,46.28569,-119.28446,1
23,Spike of Hepatitis C Cases in Golden,39.75554,-105.2211,1
24,Hepatitis D Keeps Spreading in Bismarck,46.80833,-100.78374,1
