,headline,latitude,longitude,kmeans_label
0,Hepatitis E has not Left Libreville,0.39241,9.45356,5
1,Authorities are Worried about the Spread of Hepatitis D in Ganja,40.68278,46.36056,5
2,Hepatitis C re-emerges in Damascus,33.5102,36.29128,5
3,Spike of Hepatitis B Cases in Greenville,5.01133,-9.0388,5
4,Hepatitis D Exposure in Aswan,24.09082,32.89942,5
5,Hepatitis C Outbreak in Bethlehem,31.70487,35.20376,5
6,Rumors about Hepatitis D Spreading in San Juan Capistrano have been Refuted,33.50169,-117.66255,0
7,Case of Hepatitis A Reported in Calgary,51.05011,-114.08529,0
8,Richland Center is infested with Hepatitis B,46.28569,-119.28446,0
9,Spike of Hepatitis C Cases in Golden,39.75554,-105.2211,0
10,Hepatitis A re-emerges in Foster City,37.55855,-122.27108,0
11,Hepatitis D Keeps Spreading in Bismarck,46.80833,-100.78374,0
12,The Spread of Hepatitis E in Fargo has been Confirmed,46.87719,-96.7898,0
13,Hepatitis E re-emerges in Santa Rosa,-36.61667,-64.28333,2
14,Will Hepatitis B vaccine help La Paz?,-30.74179,-59.64517,2
15,Rumors about Hepatitis C spreading in Darien have been refuted,3.93135,-76.48481,2
16,Hepatitis B has not Left Florence,43.77925,11.24626,3
17,Schools in Glasgow Closed Due to Hepatitis B Outbreak,55.86515,-4.25763,3
18,Hepatitis D has Arrived in Grenoble,45.17869,5.71479,3
19,Hepatitis A re-emerges in Stamford,52.65,-0.48333,3
20,Durango is infested with Hepatitis B,43.17124,-2.6338,3
21,Hepatitis B Exposure in Edinburgh,55.95206,-3.19648,3
22,Santa Barbara tests new cure for Hepatitis C,16.0009,120.4023,4
23,Huzhou Residents Receive Hepatitis B vaccine,30.8703,120.0933,4
24,Hepatitis A Vaccine is now Required in Fukushima,37.75,140.46667,4
25,Authorities are Worried about the Spread of Hepatitis B in Yiwu,29.31506,120.07676,4
26,Case of Hepatitis E Reported in Melbourne,-37.814,144.96332,1
27,Lower Hospitalization in Auckland after Hepatitis D Vaccine becomes Mandatory,-36.84853,174.76349,1
28,Rumors about Hepatitis D spreading in Albany have been refuted,-35.02692,117.88369,1
29,More people in Toronto are infected with Hepatitis E every year,43.70011,-79.4163,6
30,Hepatitis B Comes to Kansas City,39.11417,-94.62746,6
31,Hepatitis C Outbreak in Danbury,41.39482,-73.45401,6
32,How to Avoid Hepatitis B in Waldorf,38.62456,-76.93914,6
33,Tocumen tests new cure for Hepatitis A,9.08939,-79.3831,6
34,Lower Hospitalization in Lakewood after Hepatitis B Vaccine becomes Mandatory,40.09789,-74.21764,6
35,Lower Hospitalization in Monroe after Hepatitis D Vaccine becomes Mandatory,32.50931,-92.1193,6
36,The Spread of Hepatitis E in Lansing has been Confirmed,41.56476,-87.53893,6
37,Schools in Bentonville Closed Due to Hepatitis B Outbreak,36.37285,-94.20882,6
38,Hepatitis E Hits Hammond,30.50463,-90.46293,6
39,Authorities are Worried about the Spread of Hepatitis D in Akron,41.08144,-81.51901,6
40,Authorities are Worried about the Spread of Hepatitis D in North Bay,46.3168,-79.46633,6
41,Hepatitis A has not Left Staten Island,40.56233,-74.13986,6
42,Lower Hospitalization in Palm Springs after Hepatitis A Vaccine becomes Mandatory,26.6359,-80.09615,6
43,Hepatitis D Keeps Spreading in Danvers,42.57509,-70.93005,6
44,More people in Cranford are infected with Hepatitis A every year,40.65844,-74.29959,6
45,Hepatitis D Symptoms Spread all over Evansville,37.97476,-87.55585,6
46,Hepatitis D Symptoms Spread all over North Bethesda,39.04455,-77.11887,6
47,Rumors about Hepatitis E Spreading in Morristown have been Refuted,36.21398,-83.29489,6
48,Marquette tests new cure for Hepatitis A,46.54354,-87.39542,6
49,How to Avoid Hepatitis B in Trenton,42.13949,-83.17826,6
50,How to Avoid Hepatitis E in South Bend,41.68338,-86.25001,6
