,headline,latitude,longitude,kmeans_label
0,Dallas man comes down with case of Zika,32.78306,-96.80667,0
1,More Zika patients reported in Austin,30.26715,-97.74306,0
2,"Seattle scientists get $500,000 grant to pursue Zika vaccine New 7:50 pm",47.60621,-122.33207,0
3,Zika outbreak spreads to Mexico City,19.42847,-99.12766,0
4,El Paso fighting Zika,31.75872,-106.48693,0
5,Outbreak of Zika in Corpus Christi,27.80058,-97.39638,0
6,Escondido neighborhood to get sprayed for Zika virus,33.11921,-117.08642,0
7,BREAKING – Zika in Missoula,46.87215,-113.994,0
8,Zika Virus Arrives in Ontario,34.06334,-117.65089,0
9,Outbreak of Zika in Stephenville,32.2207,-98.20226,0
10,Zika Virus Detected in Lubbock,33.57786,-101.85517,0
11,Zika Virus Sparks 'International Concern',39.53491,-119.75269,0
12,Zika-carrying mosquitoes discovered in Ardmore,34.17426,-97.14363,0
13,Frisco Woman Tests Positive For Zika Virus,33.15067,-96.82361,0
14,Four cases of Zika in Hidalgo County,25.97205,-100.45029,0
15,Zika symptoms spotted in Arlington,32.73569,-97.10807,0
16,Zika case reported in Abilene,32.44874,-99.73314,0
17,Zika Outbreak in Weslaco,26.15952,-97.99084,0
18,More Zika patients reported in Waco,31.54933,-97.14667,0
19,Zika spreads to Lewisville,33.04623,-96.99417,0
20,Fort Hood Reports its First Zika Patient,31.13489,-97.77561,0
21,More Zika patients reported in Nuevo Laredo,27.47629,-99.51639,0
22,Zika case reported in Reynosa,26.08061,-98.28835,0
23,Zika seminars in Yuma County,32.72532,-114.6244,0
24,Zika Outbreak in Mexicali,32.62781,-115.45446,0
25,More Zika patients reported in Fort Worth,32.72541,-97.32085,0
26,Zika Outbreak in Wichita Falls,33.91371,-98.49339,0
27,Trinidad confirms first Zika case,-14.83333,-64.9,2
28,San Juan reports 1st U.S. Zika-related death amid outbreak,-31.5375,-68.53639,2
29,Zika spreading to Salvador,-12.97111,-38.51083,2
30,Zika Virus Reaches San Francisco,-31.42797,-62.08266,2
31,"Zika outbreak in Piracicaba, Brazil",-22.72528,-47.64917,2
32,Lima tries to address Zika Concerns,-12.04318,-77.02824,2
33,Zika San Antonio Patient Speaks Out,-33.59473,-71.60746,2
34,New Zika Case Confirmed in Belo Horizonte,-19.92083,-43.93778,2
35,Villavicencio under Zika threat,4.142,-73.62664,2
36,Two more Zika cases confirmed in Laredo,-8.08965,-78.9602,2
37,Zika alert for Rio Grande Valley residents,-32.035,-52.09861,2
38,Zika symptoms spotted in Colombo,-25.29167,-49.22417,2
39,Zika arrives in Santos,-23.96083,-46.33361,2
40,Zika case recorded in Tunapuna »,10.65245,-61.38878,2
41,Zika symptoms spotted in Bello,6.33732,-75.55795,2
42,"Zika Mosquitoes May Have Bred in Bromeliads, Florida Officials Say",3.3223,-76.2348,2
43,Zika arrives in Natal,-5.795,-35.20944,2
44,Zika Outbreak in Sincelejo,9.30472,-75.39778,2
45,Zika case reported in Jacobina,-11.18143,-40.51372,2
46,Zika symptoms spotted in Fortaleza,-3.71722,-38.54306,2
47,Zika symptoms spotted in Iquitos,-3.74912,-73.25383,2
48,Zika Troubles come to La Libertad,-2.233,-80.91039,2
49,Outbreak of Zika in Santa Elena,-30.94432,-59.78832,2
50,Zika spreads to Olinda,-8.00889,-34.85528,2
51,Zika symptoms spotted in Quito,-0.22985,-78.52495,2
52,Zika spreads to San Luis Potosi,-33.29501,-66.33563,2
53,Outbreak of Zika in Colombo,-25.29167,-49.22417,2
54,Zika arrives in San Onofre,9.73586,-75.52626,2
55,Zika case reported in Limoeiro,-7.87472,-35.45028,2
56,More Zika patients reported in Botucatu,-22.88583,-48.445,2
57,Zika Outbreak in Manaus,-3.10194,-60.025,2
58,Zika spreads to Caucasia,7.98654,-75.19349,2
59,Zika Outbreak in Yurimaguas,-5.90181,-76.12234,2
60,Outbreak of Zika in Portoviejo,-1.05458,-80.45445,2
61,More Zika patients reported in Bella Vista,-27.03424,-65.30196,2
62,Zika Troubles come to Harlingen,53.17477,5.42244,3
63,Zika alert – Manila now threatened,14.6042,120.9822,4
64,Zika afflicts 7 in Iloilo City,10.69694,122.56444,4
65,Zika cases in Vietnam's Ho Chi Minh City surge,10.82302,106.62965,4
66,Thailand-Zika Virus in Bangkok,13.75398,100.50144,4
67,Beijing team cracks Zika secret,39.9075,116.39723,4
68,Kuala Lumpur is Hit By Zika Threat,3.1412,101.68653,4
69,First Zika case confirmed in Yangon,16.80528,96.15611,4
70,"Zika surfaces in Klang, Malaysia",3.03667,101.44333,4
71,More Quezon City Zika Transmissions,14.6488,121.0509,4
72,Pune woman diagnosed with Zika,18.51957,73.85535,4
73,Hospitals in Hanoi fill up with Zika patients,21.0245,105.84117,4
74,Zika: Delhi for strict monitoring,28.65195,77.23149,4
75,Seoul confirms 14th Zika infection,37.566,126.9784,4
76,Zika now spreading through Jakarta,-6.21462,106.84513,4
77,Antipolo under threat from Zika Virus,14.62578,121.12251,4
78,Spreading Zika reaches Bacoor,14.45896,120.93851,4
79,Zika afflicts patient in Calamba,14.21167,121.16528,4
80,Petaling Jaya man ill from Zika,3.10726,101.60671,4
81,Zika Outbreak in Hyderabad,17.38405,78.45636,4
82,New Delhi Addressing Zika Concerns,28.63576,77.22445,4
83,"New Zika Case in Kota Kinabalu, Malaysia",5.9749,116.0724,4
84,"Zika reaches Johor Bahru, Malaysia",1.4655,103.7578,4
85,Nha Trang Zika Outbreak,12.24507,109.19432,4
86,19 new Zika Cases in Sengkang,-4.1279,120.0297,4
87,Outbreak of Zika in Bacolod City,10.66667,122.95,4
88,Zika cases in Singapore reach 393,1.28967,103.85007,4
89,Zika arrives in Miri,4.39928,113.99163,4
90,More Zika patients reported in Davao,7.07306,125.61278,4
91,Phnom Penh hit by Zika Threat,11.56245,104.91601,4
92,Outbreak of Zika in Pasig City,14.58691,121.0614,4
93,Zika Troubles come to Kampong Cham,11.99339,105.4635,4
94,Zika case reported in Rizal,15.7118,121.1061,4
