,latitude,longitude,cluster_label
0,35.789846,-78.650624,3
1,36.116203,-119.618564,0
2,36.116203,-119.618564,0
3,40.349457,-88.986137,15
4,33.729759,-111.431221,14
5,42.230171,-71.530106,10
6,41.85003,-87.65005,15
7,36.116203,-119.618564,0
8,39.73915,-104.9847,24
9,21.52536,-78.22579,5
10,32.71571,-117.16472,21
11,36.116203,-119.618564,0
12,40.349457,-88.986137,15
13,30.239513,-97.69127,7
14,21.094318,-157.498337,13
15,40.590752,-77.209755,3
16,30.649082,-97.605065,7
17,61.370716,-152.404419,8
18,36.731963,-80.727831,3
19,40.349457,-88.986137,15
20,40.349457,-88.986137,15
21,21.52536,-78.22579,5
22,36.116203,-119.618564,0
23,36.116203,-119.618564,0
24,31.054487,-97.563461,7
25,39.09973,-94.57857,20
26,31.054487,-97.563461,7
27,33.95335,-117.39616,21
28,38.525182,-122.92611,28
29,40.71427,-74.00597,10
30,33.729759,-111.431221,14
31,42.230171,-71.530106,10
32,36.116203,-119.618564,0
33,33.729759,-111.431221,14
34,31.054487,-97.563461,7
35,21.52536,-78.22579,5
36,40.349457,-88.986137,15
37,21.52536,-78.22579,5
38,33.729759,-111.431221,14
39,40.71427,-74.00597,10
40,40.349457,-88.986137,15
41,42.230171,-71.530106,10
42,34.10834,-117.28977,21
43,42.230171,-71.530106,10
44,47.490599,-121.833996,16
45,36.116203,-119.618564,0
46,32.71571,-117.16472,21
47,45.694454,-93.900192,9
48,42.230171,-71.530106,10
49,42.230171,-71.530106,10
50,36.116203,-119.618564,0
51,30.791242,-96.984395,7
52,34.10834,-117.28977,21
53,30.58333,114.26667,23
54,33.729759,-111.431221,14
55,37.66814,-84.670067,2
56,22.40694,-79.96472,5
57,33.44838,-112.07404,14
58,40.590752,-77.209755,3
59,40.6976,-74.2632,10
60,22.40694,-79.96472,5
61,36.116203,-119.618564,0
62,39.09973,-94.57857,20
63,32.806671,-86.79113,27
64,44.299782,-99.438828,26
65,40.349457,-88.986137,15
66,33.729759,-111.431221,14
67,38.5266,-96.726486,20
68,40.336887,-75.10706,3
69,36.116203,-119.618564,0
70,61.370716,-152.404419,8
71,31.054487,-97.563461,7
72,42.230171,-71.530106,10
73,32.78306,-96.80667,7
74,45.694454,-93.900192,9
75,-28.10391,26.86593,1
76,25.61058,-80.497099,5
77,30.100772,-97.310639,7
78,42.230171,-71.530106,10
79,40.388783,-82.764915,22
80,38.89511,-77.03637,3
81,42.230171,-71.530106,10
82,42.91336,-85.70531,22
83,21.52536,-78.22579,5
84,42.230171,-71.530106,10
85,31.054487,-97.563461,7
86,40.349457,-88.986137,15
87,-5.11306,105.30667,12
88,42.230171,-71.530106,10
89,36.116203,-119.618564,0
90,36.116203,-119.618564,0
91,31.169546,-91.867805,25
92,32.78306,-96.80667,7
93,40.349457,-88.986137,15
94,33.95335,-117.39616,21
95,42.230171,-71.530106,10
96,43.326618,-84.536095,22
97,36.116203,-119.618564,0
98,34.42083,-119.69819,0
99,32.71571,-117.16472,21
100,21.52536,-78.22579,5
101,34.10834,-117.28977,21
102,45.694454,-93.900192,9
103,45.694454,-93.900192,9
104,47.538569,-90.290189,9
105,40.349457,-88.986137,15
106,34.42083,-119.69819,0
107,33.95335,-117.39616,21
108,45.694454,-93.900192,9
109,45.694454,-93.900192,9
110,43.452492,-71.563896,10
111,36.116203,-119.618564,0
112,40.349457,-88.986137,15
113,39.849426,-86.258278,15
114,40.388783,-82.764915,22
115,39.063946,-76.802101,3
116,33.729759,-111.431221,14
117,40.590752,-77.209755,3
118,36.116203,-119.618564,0
119,21.52536,-78.22579,5
120,31.054487,-97.563461,7
121,45.694454,-93.900192,9
122,21.52536,-78.22579,5
123,33.729759,-111.431221,14
124,21.52536,-78.22579,5
125,42.230171,-71.530106,10
126,42.230171,-71.530106,10
127,37.77099,-122.26087,28
128,40.349457,-88.986137,15
129,21.52536,-78.22579,5
130,40.388783,-82.764915,22
131,40.590752,-77.209755,3
132,36.116203,-119.618564,0
133,36.116203,-119.618564,0
134,33.729759,-111.431221,14
135,42.230171,-71.530106,10
136,47.490599,-121.833996,16
137,53.1905,-2.89189,6
138,21.52536,-78.22579,5
139,41.85003,-87.65005,15
140,38.456085,-92.288368,20
141,36.116203,-119.618564,0
142,38.525182,-122.92611,28
143,32.806671,-86.79113,27
144,36.116203,-119.618564,0
145,45.694454,-93.900192,9
146,42.230171,-71.530106,10
147,18.38078,-65.95739,18
148,37.09024,-95.712891,20
149,32.71571,-117.16472,21
150,-28.10391,26.86593,1
151,42.230171,-71.530106,10
152,38.89511,-77.03637,3
153,33.729759,-111.431221,14
154,41.85003,-87.65005,15
155,33.78779,-117.85311,21
156,31.054487,-97.563461,7
157,40.349457,-88.986137,15
158,42.230171,-71.530106,10
159,21.52536,-78.22579,5
160,43.326618,-84.536095,22
161,32.71571,-117.16472,21
162,31.054487,-97.563461,7
163,36.116203,-119.618564,0
164,42.230171,-71.530106,10
165,40.388783,-82.764915,22
166,21.52536,-78.22579,5
167,31.054487,-97.563461,7
168,37.09024,-95.712891,20
169,21.52536,-78.22579,5
170,40.349457,-88.986137,15
171,32.71571,-117.16472,21
172,21.52536,-78.22579,5
173,40.349457,-88.986137,15
174,31.054487,-97.563461,7
175,38.051817,-122.745974,28
176,39.09973,-94.57857,20
177,34.27834,-119.29317,0
178,18.38078,-65.95739,18
179,21.52536,-78.22579,5
180,40.590752,-77.209755,3
181,45.694454,-93.900192,9
182,37.09024,-95.712891,20
183,41.597782,-72.755371,10
184,31.054487,-97.563461,7
185,47.538569,-90.290189,9
186,42.230171,-71.530106,10
187,37.77099,-122.26087,28
188,38.456085,-92.288368,20
189,32.71571,-117.16472,21
190,36.116203,-119.618564,0
191,36.116203,-119.618564,0
192,33.729759,-111.431221,14
193,31.054487,-97.563461,7
194,53.1905,-2.89189,6
195,40.349457,-88.986137,15
196,45.694454,-93.900192,9
197,43.66294,-116.68736,11
198,38.89511,-77.03637,3
199,43.452492,-71.563896,10
200,43.326618,-84.536095,22
201,40.71427,-74.00597,10
202,41.597782,-72.755371,10
203,30.791242,-96.984395,7
204,21.52536,-78.22579,5
205,42.67087,-83.03298,22
206,31.054487,-97.563461,7
207,21.52536,-78.22579,5
208,34.05223,-118.24368,21
209,30.649082,-97.605065,7
210,21.52536,-78.22579,5
211,21.52536,-78.22579,5
212,33.194532,-96.579444,7
213,22.40694,-79.96472,5
214,32.741646,-89.678696,25
215,42.230171,-71.530106,10
216,21.52536,-78.22579,5
217,38.456085,-92.288368,20
218,30.649082,-97.605065,7
219,42.230171,-71.530106,10
220,31.054487,-97.563461,7
221,21.52536,-78.22579,5
222,40.388783,-82.764915,22
223,40.349457,-88.986137,15
224,36.116203,-119.618564,0
225,22.40694,-79.96472,5
226,21.52536,-78.22579,5
227,36.116203,-119.618564,0
228,40.349457,-88.986137,15
229,41.597782,-72.755371,10
230,33.44838,-112.07404,14
231,33.78779,-117.85311,21
